"=HYPERLINK(""https://www.ti.com.cn/zh-cn/processors/digital-signal-processors/media-audio-processors/products.html"", ""View Selection Tool on TI.com"")"

"NOTE: The table below does not have formatting applied."
"Select the entire sheet (ctrl+A) and apply"
"""Auto-fit column width"" to make all information visible"
"(Format -> Column -> Autofit column width)"

"Part number","Description","订购和质量","DSP","Operating systems","Arm CPU","Video acceleration","Video port (configurable)","Arm MHz (Max.)","DSP MHz","On-chip L2 cache/RAM","Other on-chip memory","DRAM","Serial I/O","PCI/PCIe","Ethernet MAC","USB","SPI"
"66AK2G12","多核 DSP+Arm、1 个 Arm A15 内核、1 个 C66x DSP 内核","=HYPERLINK(""https://www.ti.com.cn/product/cn/66AK2G12/samplebuy"",""订购和质量"")","1 C66x","Linux,
TI-RTOS","1 Arm Cortex-A15"," --- "," --- ","600,
1000","600,
1000","512KB w/ECC ARM Cortex-A15,
1024KB w/ECC C66x DSP","1024KB w/ECC","DDR3L","I2C,
McASP,
McBSP,
PCIe,
SPI,
UART&,
USB","PCIe Gen2","1-port 1Gb,
4-port 10/100 PRU EMAC","2","4"
"DM505","适用于视觉分析的 SoC，采用 15mm 封装","=HYPERLINK(""https://www.ti.com.cn/product/cn/DM505/samplebuy"",""订购和质量"")","2x C66x","TI-RTOS","1 Dual Core Cortex-M4","1 EVE","2 output, 2 input, 1 SD DAC, 3HD DACs, 1 HDMI TX","212.8","745","512 KB"," --- ","DDR3,DDR3L,DDR2,LPDDR2"," --- ","0","10/100/1000 Switch","0","4"
"DM3725","数字媒体处理器","=HYPERLINK(""https://www.ti.com.cn/product/cn/DM3725/samplebuy"",""订购和质量"")","1 C64x","Android,
DSP/BIOS,
Neutrino,
Integrity,
Windows Embedded CE,
Linux,
VxWorks","1 Arm Cortex-A8","0","1 Dedicated Input,
1 Dedicated Output","800,
1000","660,
800","256 KB (ARM Cortex-A8)"," --- ","LPDDR","McBSP,
I2C,
SPI,
UART","0","0","4","4"
"DM3730","数字媒体处理器","=HYPERLINK(""https://www.ti.com.cn/product/cn/DM3730/samplebuy"",""订购和质量"")","1 C64x","Android,
DSP/BIOS,
Neutrino,
Integrity,
Windows Embedded CE,
Linux,
VxWorks","1 Arm Cortex-A8","0","1 Dedicated Input,
1 Dedicated Output","800,
1000","660,
800","256 KB (ARM Cortex-A8)"," --- ","LPDDR","McBSP,
I2C,
SPI,
UART","0","0","4","4"
"DM383","DaVinci 数字媒体处理器","=HYPERLINK(""https://www.ti.com.cn/product/cn/DM383/samplebuy"",""订购和质量"")","0","PrOS,
Linux","1 Arm Cortex-A8","1 HDVICP2","2 Output,
2 Input,
1 SD DAC,
3 HD DACs,
1 HDMI TX","1000","0","256 KB (ARM)","256 KB On-Chip RAM","DDR2,
DDR3,
DDR3L"," --- ","0","0","2","4"
"DM385","DaVinci 数字媒体处理器","=HYPERLINK(""https://www.ti.com.cn/product/cn/DM385/samplebuy"",""订购和质量"")","0","Linux","1 Arm Cortex-A8","1 HDVICP2","2 Output,
2 Input,
1 SD DAC,
3 HD DACs,
1 HDMI TX","1000","0","256 KB (ARM)","Imaging Subsystem,
Face Detection","32,
bit,
DDR2,
DDR3,
DDR3L"," --- ","PCIe,
x1,
with,
PHY","10/100/1000 Switch","2 USB2.0 w/Phy","4"
"DM388","DaVinci 数字媒体处理器","=HYPERLINK(""https://www.ti.com.cn/product/cn/DM388/samplebuy"",""订购和质量"")","0","Linux","1 Arm Cortex-A8","1 HDVICP2","2 Output,
2 Input,
1 SD DAC,
3 HD DACs,
1 HDMI TX","1000","0","256 KB (ARM Cortex-A8)","64KB RAM","DDR2,
DDR3,
DDR3L"," --- ","PCIe 2.0,
1x,
with PHY","10/100/1000 Switch","2","4"
"DMVA3","DaVinci 数字媒体处理器","=HYPERLINK(""https://www.ti.com.cn/product/cn/DMVA3/samplebuy"",""订购和质量"")","0","PrOS,
Linux","1 Arm Cortex-A8","1 HDVICP2","2 Output,
2 Input,
1 SD DAC,
3 HD DACs,
1 HDMI TX","720","0","256 KB (ARM)","256 KB On-Chip RAM","DDR2,
DDR3,
DDR3L"," --- ","1","1 Switch","2","4"
"OMAP-L137","C6747 DSP+Arm 处理器","=HYPERLINK(""https://www.ti.com.cn/product/cn/OMAP-L137/samplebuy"",""订购和质量"")","1 C674x","Linux,
TI-RTOS","1 Arm9"," --- ","1","456","375,
456","256 KB (DSP)","128 KB","SDRAM","McASP,
SPI,
I2C,
UART","N/A","10/100","2","2"
"OMAP3525","应用处理器","=HYPERLINK(""https://www.ti.com.cn/product/cn/OMAP3525/samplebuy"",""订购和质量"")","1 C64x","Android,
Neutrino,
Integrity,
Tornado,
Windows Embedded CE,
Linux,
VxWorks","1 Arm Cortex-A8","High-Performance Image,
Video,
Audio (IVA2.2?) Accelerator Subsystem","Decode,
Encode,
Analytics,
Image Enhance","600","430","256 KB (ARM Cortex-A8),
96 KB (DSP)"," --- ","LPDDR","I2C,
McBSP,
McSPI,
UART"," --- "," --- ","2","4"
"OMAP3530","应用处理器","=HYPERLINK(""https://www.ti.com.cn/product/cn/OMAP3530/samplebuy"",""订购和质量"")","1 C64x","Android,
Neutrino,
Integrity,
Tornado,
Windows Embedded CE,
Linux,
VxWorks","1 Arm Cortex-A8","High-Performance Image,
Video,
Audio (IVA2.2?) Accelerator Subsystem","Decode,
Encode,
Analytics,
Image Enhance","720","520","256 KB (ARM Cortex-A8),
96 KB (DSP)"," --- ","LPDDR","I2C,
McBSP,
McSPI,
UART"," --- "," --- ","2","4"
"OMAP5910","Applications processor","=HYPERLINK(""https://www.ti.com.cn/product/cn/OMAP5910/samplebuy"",""订购和质量"")","1 x C55x"," --- ","1 x ARM9TDMI?"," --- "," --- "," --- "," --- "," --- "," --- "," --- "," --- "," --- "," --- ","1x"," --- "
"OMAPL137-HT","高温低功耗应用处理器","=HYPERLINK(""https://www.ti.com.cn/product/cn/OMAPL137-HT/samplebuy"",""订购和质量"")","1 C674x","DSP/BIOS","1 Arm9"," --- ","1","300","300","256 KB (DSP)","128 KB","SDRAM","McASP,
SPI,
I2C,
UART"," --- ","10/100","2","2"
"SM320C6415","军用级定点数字信号处理器","=HYPERLINK(""https://www.ti.com.cn/product/cn/SM320C6415/samplebuy"",""订购和质量"")","1 C64x","DSP/BIOS"," --- "," --- "," --- "," --- ","600","1024 KB","VCP/TCP"," --- ","McBSP"," --- "," --- "," --- ","3"
"SM320DM355-EP","增强型产品数字媒体 DM355 处理器","=HYPERLINK(""https://www.ti.com.cn/product/cn/SM320DM355-EP/samplebuy"",""订购和质量"")","0","Neutrino,
PrOS,
Integrity,
Windows Embedded CE,
Linux","1 Arm9","0","1 Dedicated Output,
1 Dedicated Input","135,
216,
270","0","0"," --- ","LPDDR,
DDR2"," --- "," --- ","0","1 USB 2.0 HS","3"
"SM320DM6446-HIREL","增强型产品数字媒体 DM6446 处理器","=HYPERLINK(""https://www.ti.com.cn/product/cn/SM320DM6446-HIREL/samplebuy"",""订购和质量"")","1 C64x","Linux,
Windows Embedded CE,
Ultron,
ThreadX,
DSP/BIOS","1 Arm9","0","1 Dedicated Output,
1 Dedicated Input","297","594","64KB"," --- ","1 32-bit SDRAM (DDR2)","ASP,
i2C,
SPI,
UART"," --- ","10/100","1","1"
"SM320VC5416-EP","增强型产品 C5416 DSP","=HYPERLINK(""https://www.ti.com.cn/product/cn/SM320VC5416-EP/samplebuy"",""订购和质量"")","1 C54x","DSP/BIOS","0"," --- "," --- ","0","0","0"," --- ","0","McBSP","0"," --- ","0"," --- "
