View Selection Tool on TI.com,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NOTE: The table below does not have formatting applied.,,,,,,,,,,,,,,
Select the entire sheet (ctrl+A) and apply,,,,,,,,,,,,,,
"""Auto-fit column width"" to make all information visible",,,,,,,,,,,,,,
(Format -> Column -> Autofit column width),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Part number,Description,订购和质量,Digital audio interface,ADC channels,DAC channels,Analog inputs,Analog outputs,"Sampling rate
(Max)
(kHz)",Rating,"ADC SNR
(Typ)
(dB)","Approx. price
(US$)","DAC SNR
(Typ)
(dB)",Package size: mm2:W x L (PKG),Status
TLV320AIC3109-Q1,汽车类低功耗 96kHz 单声道音频编解码器,订购和质量,"L,
R,
I2S,
DSP,
TDM",1,1,4,6,96,Automotive,92,1.40 | 1ku,102,25 mm2: 5 x 5 (VQFN|32),ACTIVE
TLV320AIC3268,TLV320AIC3268 超低功耗立体声音频编解码器,订购和质量,"I2S,
TDM,
DSP,
L&R,
PCM",2,2,8,7,192,Catalog,95,4.38 | 1ku,105,81 mm2: 9 x 9 (VQFN|64),ACTIVE
TLV320AIC3254-Q1,采用 miniDSP 和 PowerTune™ 技术的汽车类超低功耗立体声音频编解码器,订购和质量,"L,
R,
I2S,
TDM,
DSP",2,2,6,4,192,Automotive,93,3.58 | 1ku,100,25 mm2: 5 x 5 (VQFN|32),ACTIVE
TLV320AIC3263,具有 miniDSP、D 类扬声器、DirectPath 耳机和 4 个数字麦克风的低功耗立体声音频编解码器,订购和质量,"I2S,
TDM,
DSP,
L&R,
PCM",2,2,8,7,192,Catalog,93,4.62 | 1ku,101,25 mm2: 5 x 5 (DSBGA|81),ACTIVE
TLV320AIC3212,具有集成 D 类扬声器、听筒驱动器和 DirectPath™ 的低功耗立体声编解码器,订购和质量,"I2S,
TDM,
DSP,
L&R,
PCM",2,2,8,7,192,Catalog,93,3.04 | 1ku,100,25 mm2: 5 x 5 (DSBGA|81),ACTIVE
TLV320AIC3262,具有 miniDSP 立体声 D 类扬声器、DirectPath 耳机的低功耗立体声编解码器,订购和质量,"I2S,
TDM,
DSP,
L&R,
PCM",2,2,8,7,192,Catalog,93,4.36 | 1ku,101,25 mm2: 5 x 5 (DSBGA|81),ACTIVE
PCM3070,"具有嵌入式 miniDSP 的立体声音频编解码器				",订购和质量,"L,
R,
I2S,
TDM,
DSP",2,2,6,4,192,Catalog,93,2.60 | 1ku,100,25 mm2: 5 x 5 (VQFN|32),ACTIVE
TLV320AIC3206,具有 DirectPath™ 耳机放大器的极低功耗立体声编解码器,订购和质量,"L,
R,
I2S,
TDM,
DSP",2,2,6,4,192,Catalog,93,2.42 | 1ku,100,"12 mm2: 3.25 x 3.75 (DSBGA|42), 25 mm2: 5 x 5 (WQFN|40)",ACTIVE
TLV320AIC3256,具有 miniDSP 和 DirectPath™ 耳机放大器的极低功耗立体声编解码器,订购和质量,"L,
R,
I2S,
TDM,
DSP",2,2,6,4,192,Catalog,93,3.13 | 1ku,100,"12 mm2: 3.25 x 3.75 (DSBGA|42), 25 mm2: 5 x 5 (WQFN|40)",ACTIVE
TLV320AIC3104-Q1,具有 6 个音频输入引脚和 6 个音频输出驱动器的汽车类低功耗立体声音频编解码器,订购和质量,"L,
R,
I2S,
DSP,
TDM",2,2,6,6,96,Automotive,92,1.77 | 1ku,102,25 mm2: 5 x 5 (VQFN|32),ACTIVE
